DRR239288_1.fastq.res,DRR239289_1.fastq.res,DRR239290_1.fastq.res,DRR239291_1.fastq.res,DRR239292_1.fastq.res,DRR239293_1.fastq.res,DRR239294_1.fastq.res,DRR239295_1.fastq.res,DRR239296_1.fastq.res,DRR239297_1.fastq.res,DRR239298_1.fastq.res,DRR239299_1.fastq.res,DRR239300_1.fastq.res,DRR239301_1.fastq.res,DRR239302_1.fastq.res,DRR239303_1.fastq.res,DRR239304_1.fastq.res,DRR239305_1.fastq.res,DRR239306_1.fastq.res,DRR239307_1.fastq.res,DRR239308_1.fastq.res,DRR239309_1.fastq.res,DRR239310_1.fastq.res,DRR239311_1.fastq.res,DRR239312_1.fastq.res,DRR239313_1.fastq.res,DRR239314_1.fastq.res,DRR239315_1.fastq.res,DRR239316_1.fastq.res,DRR239317_1.fastq.res,SRR10972778.fastq.res,SRR10972779.fastq.res,SRR10972780.fastq.res,SRR10972781.fastq.res,SRR10972782.fastq.res,SRR10972783.fastq.res,SRR10972784.fastq.res,SRR10972785.fastq.res,SRR10972786.fastq.res,SRR10972787.fastq.res,SRR11341459.fastq.res,SRR11341460.fastq.res,SRR11341461.fastq.res,SRR11341462.fastq.res,SRR11341463.fastq.res,SRR11341464.fastq.res,SRR12897294_1.fastq.res,SRR12897295_1.fastq.res,SRR12897297_1.fastq.res,SRR12897298_1.fastq.res,SRR12897299_1.fastq.res,SRR12897300_1.fastq.res,SRR12897302_1.fastq.res,SRR12897304_1.fastq.res,SRR12897305_1.fastq.res,SRR12897306_1.fastq.res,SRR12897307_1.fastq.res,SRR12897308_1.fastq.res,SRR12897309_1.fastq.res,SRR12897310_1.fastq.res,SRR12897311_1.fastq.res,SRR12897312_1.fastq.res,SRR12897313_1.fastq.res,SRR12897315_1.fastq.res,SRR12897316_1.fastq.res,SRR12897317_1.fastq.res,SRR12897318_1.fastq.res,SRR12897319_1.fastq.res,SRR12927433_1.fastq.res,SRR12927434_1.fastq.res,SRR12927435_1.fastq.res,SRR12927436_1.fastq.res,SRR12927437_1.fastq.res,SRR12927438_1.fastq.res,SRR12927439_1.fastq.res,SRR12927440_1.fastq.res,SRR12927441_1.fastq.res,SRR12927442_1.fastq.res,SRR12927443_1.fastq.res,SRR12927444_1.fastq.res,SRR12927445_1.fastq.res,SRR12927446_1.fastq.res,SRR12927447_1.fastq.res,SRR12927448_1.fastq.res,SRR12927449_1.fastq.res,SRR12927450_1.fastq.res,SRR12927451_1.fastq.res,SRR12927452_1.fastq.res,SRR12927453_1.fastq.res,SRR12927454_1.fastq.res,SRR13173136_1.fastq.res,SRR13173137_1.fastq.res,SRR13173138_1.fastq.res,SRR13173139_1.fastq.res,SRR13173140_1.fastq.res,SRR13173141_1.fastq.res,SRR13173152_1.fastq.res,SRR13173153_1.fastq.res,SRR13173154_1.fastq.res,SRR13173155_1.fastq.res,SRR13173156_1.fastq.res,SRR13173157_1.fastq.res,SRR13173158_1.fastq.res,SRR13173159_1.fastq.res,SRR13173160_1.fastq.res,SRR13173161_1.fastq.res,SRR13173162_1.fastq.res,SRR13173169_1.fastq.res,SRR13173170_1.fastq.res,SRR13173171_1.fastq.res,SRR13173172_1.fastq.res,SRR13173173_1.fastq.res,SRR13173174_1.fastq.res,SRR13173175_1.fastq.res,SRR14903009_1.fastq.res,SRR15235270.fastq.res,SRR15235271.fastq.res,SRR15235272.fastq.res,SRR15235273.fastq.res,SRR15235274.fastq.res,SRR15235275.fastq.res,SRR15235276.fastq.res,SRR15235277.fastq.res,SRR15235278.fastq.res,SRR15235279.fastq.res,SRR15257916.fastq.res,SRR15257917.fastq.res,SRR15257919.fastq.res,SRR15257920.fastq.res,SRR15257921.fastq.res,SRR15257923.fastq.res,SRR15257924.fastq.res,SRR15257925.fastq.res,SRR15257926.fastq.res,SRR15257927.fastq.res,SRR15412304_1.fastq.res,SRR15412305_1.fastq.res,SRR15412306_1.fastq.res,SRR15412308_1.fastq.res,SRR15412309_1.fastq.res,SRR15412310_1.fastq.res,SRR15412311_1.fastq.res,SRR15412312_1.fastq.res,SRR15412314_1.fastq.res,SRR15412316_1.fastq.res,SRR15412318_1.fastq.res,SRR15412319_1.fastq.res,SRR15412320_1.fastq.res,SRR15412322_1.fastq.res,SRR15412323_1.fastq.res,SRR15412325_1.fastq.res,SRR15412326_1.fastq.res,SRR15412327_1.fastq.res,SRR15412328_1.fastq.res,SRR15734344_1.fastq.res,SRR15734345_1.fastq.res,SRR15734346_1.fastq.res,SRR15734347_1.fastq.res,SRR15734348_1.fastq.res,SRR15734349_1.fastq.res,SRR15734350_1.fastq.res,SRR15734351_1.fastq.res,SRR15734352_1.fastq.res,SRR15734353_1.fastq.res,SRR15734354_1.fastq.res,SRR15734355_1.fastq.res,SRR15734356_1.fastq.res,SRR15734357_1.fastq.res,SRR15734358_1.fastq.res,SRR15734359_1.fastq.res,SRR15734360_1.fastq.res,SRR15734361_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,2.25,0.0,0.0,0.0,0.0,0.0,11.95,0.0,0.0,0.0,0.0,4.8,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,Archaea,unk_k,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,12.4,0.0,0.0,0.0,2.31,28.64,Archaea,unk_k,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,unk_p,unk_c,unk_o,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84,0.0,0.0,0.0,0.0,0.0,15.41,0.0,18.99,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.23,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,uncultured Acidobacterium sp.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,uncultured Edaphobacter sp.
