SRR7239362_1_1.fastq.res,SRR7239362_2_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.67,0.67,Archaea,unk_k,Crenarchaeota,Thermoprotei,Desulfurococcales,,,
0.0,2.67,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,
4.99,9.9,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,,,
2.67,0.0,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,uncultured Methanimicrococcus sp.
3.22,3.14,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,,,
4.3,2.75,Archaea,unk_k,unk_p,unk_c,unk_o,,,
2.21,0.0,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
0.75,3.52,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
0.75,0.25,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
10.78,5.3,Bacteria,unk_k,Acidobacteria,unk_c,unk_o,,,
0.0,2.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. S385
0.0,114.22,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces succiniciruminis
0.93,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urinae
126.94,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,
1.2,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured Actinomyces sp.
0.58,0.9,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,
0.56,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Gleimia,Gleimia europaea
0.0,0.76,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Gleimia,
17.76,10.7,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,,
0.0,1.53,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Varibaculum,
0.4,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Varibaculum,uncultured Varibaculum sp.
1.26,2.22,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,unk_g,
0.82,1.29,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,,
0.0,0.43,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,Actinomycetales bacterium 'ARUP UnID 664'
0.74,0.49,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,uncultured Actinomycetales bacterium
5.220000000000001,4.47,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
0.86,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. CPh-1
0.96,1.5299999999999998,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sphenisci
2.26,2.05,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium spheniscorum
1.16,1.41,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
0.46,7.73,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured Corynebacterium sp.
33.49,23.509999999999998,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,,
0.0,0.22,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia sp. I-BO3
0.44,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii
0.53,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
0.96,1.03,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,,
0.8,2.3,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,,,
0.84,0.85,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,,
0.0,0.23,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Tsukamurellaceae,Tsukamurella,uncultured Tsukamurella sp.
0.79,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,,
0.78,1.09,Bacteria,unk_k,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,,
1.48,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,
0.0,5.43,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,,
0.95,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Dermacoccaceae,,
0.33,0.33,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Terrabacter,
1.84,1.26,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Jonesiaceae,,
0.83,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,,
0.61,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,
1.0899999999999999,0.48,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,,
0.0,0.45,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Rhodoglobus,Rhodoglobus sp. R-41578
0.0,0.81,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,unk_g,uncultured Microbacteriaceae bacterium
0.45,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter psychrochitiniphilus
0.52,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. 130-8
1.35,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. IARI-L-99
6.09,1.25,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. JEK-2009
0.54,0.44,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,
0.81,0.42,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,uncultured Arthrobacter sp.
0.39,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,
0.0,0.35,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,
2.16,4.46,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,,
2.08,8.209999999999999,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,,,
0.83,0.61,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Sanguibacteraceae,Sanguibacter,
1.23,0.53,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
0.0,3.64,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,
6.28,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,,
0.74,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,unk_g,uncultured Propionibacteriaceae bacterium
0.41,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,unk_f,,
2.36,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,,,
0.0,2.2,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,,
0.95,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,
1.19,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,,,
0.0,0.62,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,,
457.05,345.1,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,
0.37,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
0.29,0.0,Bacteria,unk_k,Actinobacteria,Coriobacteriia,Coriobacteriales,,,
0.0,0.46,Bacteria,unk_k,Actinobacteria,Thermoleophilia,unk_o,unk_f,unk_g,
0.75,0.0,Bacteria,unk_k,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,,
0.0,0.99,Bacteria,unk_k,Aquificae,Aquificae,Aquificales,,,
0.0,2.58,Bacteria,unk_k,Aquificae,Aquificae,unk_o,unk_f,,
3.91,3.34,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
0.83,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
2.49,0.25,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,,
29.62,14.62,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,
46.19,178.26999999999998,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,
12.89,10.1,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,
27.0,2.37,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,uncultured Petrimonas sp.
24.58,8.63,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,uncultured Proteiniphilum sp.
3.5,0.4,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,,,
6.09,4.15,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,,
0.0,1.24,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,
182.52,63.69,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,,
9.98,6.19,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
7.58,4.87,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis
7.52,6.19,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unk_g,
7.2,62.209999999999994,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unk_g,uncultured Porphyromonadaceae bacterium
0.21,0.75,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,,
16.06,14.17,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,,
11.169999999999998,18.130000000000003,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,unk_f,,
9.47,4.75,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,unk_f,unk_g,
0.95,1.89,Bacteria,unk_k,Bacteroidetes,Bacteroidia,unk_o,unk_f,,
0.0,1.26,Bacteria,unk_k,Bacteroidetes,Cytophagia,Cytophagales,Bernardetiaceae,,
0.39,0.0,Bacteria,unk_k,Bacteroidetes,Cytophagia,Cytophagales,Spirosomaceae,Dyadobacter,uncultured Dyadobacter sp.
0.0,0.68,Bacteria,unk_k,Bacteroidetes,Cytophagia,Cytophagales,Spirosomaceae,,
6.1000000000000005,2.31,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp.
0.43,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 01WB02.3-7
0.4,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. A26CS2014
0.56,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. ANT 11
1.88,1.36,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. SL8
5.38,4.28,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. VersM5.115
0.45,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. WB4.4-29
0.43,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium tegetincola
0.43,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium weaverense
13.05,3.61,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
0.0,1.11,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gelidibacter,Gelidibacter gilvus
0.78,0.7,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,
13.2,27.81,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
6.0,4.79,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unk_g,
6.15,6.12,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp.
0.0,0.34,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. 471
2.28,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. AZTITEMP90
0.52,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. SCR0201
6.64,13.25,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,uncultured Chryseobacterium sp.
0.94,1.9,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,,
0.0,3.14,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,unk_f,unk_g,
0.67,1.1,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,unk_o,unk_f,unk_g,uncultured Flavobacteriia bacterium
0.0,0.38,Bacteria,unk_k,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
0.38,0.0,Bacteria,unk_k,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter boryungensis
0.83,0.83,Bacteria,unk_k,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,unk_g,uncultured Sphingobacteriaceae bacterium
