SRR7239362_1.fastq.res,SRR7239363_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
9.29,19.46,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,,,
0.0,8.0,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,
2.74,6.38,Archaea,unk_k,unk_p,unk_c,unk_o,,,
8.0,12.24,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
4.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. S385
1294.67,841.58,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces succiniciruminis
0.0,10.07,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,
0.0,3.59,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Bowdeniella,
15.3,49.81,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,,
0.0,3.19,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,unk_g,
0.0,5.1,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,,,
2.81,3.92,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,uncultured Actinomycetales bacterium
3.01,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. CPh-1
5.78,9.12,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium spheniscorum
0.0,3.56,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
12.68,22.11,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,,
0.0,3.77,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,,
3.16,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,,
3.31,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter psychrochitiniphilus
25.79,46.74,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. JEK-2009
2.42,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,uncultured Arthrobacter sp.
0.0,11.17,Bacteria,unk_k,Actinobacteria,Actinomycetia,,,,
2.97,10.09,Bacteria,unk_k,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,,
626.36,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,,
0.0,3412.53,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,
0.0,7.24,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
0.0,10.77,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
8.0,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,,
219.2,210.77,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,
18.47,38.8,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,
0.0,24.43,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,uncultured Proteiniphilum sp.
0.0,31.36,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,,,
4.08,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,,
220.26,68.82,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,,
17.42,28.27,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unk_g,
0.0,47.13,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unk_g,uncultured Porphyromonadaceae bacterium
8.84,5.46,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,,
18.9,13.92,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,unk_f,,
17.93,7.95,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,unk_f,unk_g,
3.17,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,unk_o,unk_f,,
5.7,7.07,Bacteria,unk_k,Bacteroidetes,Bacteroidia,unk_o,unk_f,unk_g,
13.15,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp.
15.4,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. 01WB02.3-43
13.38,8.04,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
0.0,3.57,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,
7.09,4.68,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unk_g,
12.86,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp.
0.0,4.19,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. W1_1
0.0,5.33,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
3.53,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,unk_o,unk_f,unk_g,uncultured Flavobacteriia bacterium
29.37,0.0,Bacteria,unk_k,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,unk_f,,
39.54,12.93,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,,,
89.71,69.53,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,unk_f,,
28.38,0.0,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,unk_f,unk_g,
4.04,4.87,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
3.52,17.0,Bacteria,unk_k,Candidatus Absconditabacteria,unk_c,unk_o,unk_f,unk_g,
0.0,3.04,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,,
0.0,5.05,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,unk_g,
4.82,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,Oscillatoriaceae,Oscillatoria,
0.0,5.94,Bacteria,unk_k,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,,
158.21,615.88,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens
0.0,399.77,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis
3.05,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mojavensis
0.0,3.54,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
252.83,86.34,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. (in: Bacteria)
3.2,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. CON39-13
4.01,3.73,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. E1R-j
0.0,29.86,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. E2B(2011)
0.0,5.85,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. JCE 7
2.7,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. QB17
2.26,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. SL003B-19A2
258.28,670.4,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
17.2,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus tequilensis
17.46,30.06,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus vallismortis
0.0,3.51,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis
3.14,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
0.0,16.04,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
0.0,5.58,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,,,
8.91,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus putidus
0.0,551.67,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
3.39,3.58,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
0.0,15.17,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
4.64,7.86,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,
0.0,5.27,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens
37.72,258.87,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium perfringens
0.0,4.78,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. T80C1
4.78,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. enrichment culture
101.75,324.03,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
35.37,409.06,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,uncultured Clostridium sp.
180.41,277.55,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,,
0.0,19.49,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,unk_g,
0.0,7.29,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Defluviitaleaceae,unk_g,uncultured Defluviitaleaceae bacterium
14.01,2.69,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,uncultured Eubacterium sp.
0.0,22.1,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,,
0.0,4.04,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,unk_g,uncultured Lachnospiraceae bacterium
17.77,21.99,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,,,
8.33,45.65,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,,
0.0,4.18,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,unk_g,
0.0,1.99,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile
