SRR19514086.fastq.res,SRR19514087.fastq.res,SRR19514088.fastq.res,SRR19514089.fastq.res,SRR19514090.fastq.res,SRR19514091.fastq.res,SRR19514092.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.0,0.0,0.0,0.0,0.0,0.42,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Synechococcales,,,
0.39,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfobacterales,,,
3.32,17.9,7.47,10.17,4.63,14.4,11.67,Eukaryota,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,,
0.33,0.0,0.0,0.0,0.0,0.58,0.0,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,
0.0,0.0,0.0,0.0,0.0,0.0,0.22,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana,Nanorana parkeri
0.0,0.0,7.01,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Microhylidae,Kaloula,
12.04,10.13,0.0,5.07,3.9,10.13,7.4,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Microhylidae,,
0.0,0.0,1.61,12.85,1.91,10.770000000000001,0.0,Eukaryota,Metazoa,Chordata,Amphibia,Anura,,,
15.18,22.55,15.41,0.0,5.25,0.0,14.36,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,,
0.0,0.0,0.0,0.0,0.0,0.0,0.47,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,
0.85,0.6,0.89,1.14,0.59,0.0,0.0,Eukaryota,Metazoa,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,
0.0,2.05,0.0,0.0,0.51,0.79,3.07,Eukaryota,Metazoa,Chordata,Aves,Apterygiformes,Apterygidae,,
0.0,0.0,0.0,0.0,0.0,0.78,0.0,Eukaryota,Metazoa,Chordata,Aves,Ciconiiformes,Balaenicipitidae,,
24.39,30.57,6.96,0.41,0.91,5.6,0.0,Eukaryota,Metazoa,Chordata,Aves,Galliformes,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.59,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Francolinus,
3.1799999999999997,5.68,4.88,8.82,12.98,31.58,15.02,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma californica
0.0,0.0,0.0,1.36,0.0,0.8,0.0,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,
14.75,7.18,11.98,11.18,13.96,10.64,6.45,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Corvidae,,
0.68,30.77,0.0,1.02,14.29,2.04,0.0,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,,
0.0,0.0,1.36,0.0,1.02,0.0,1.36,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Estrildidae,Vidua,
5.830000000000001,2.69,23.650000000000002,13.42,1.91,40.4,39.9,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,,,
