SRR19381109.fastq.res,SRR19381111.fastq.res,SRR19381112.fastq.res,SRR19381113.fastq.res,SRR19381115.fastq.res,SRR19381118.fastq.res,SRR19381119.fastq.res,SRR19381120.fastq.res,SRR19381121.fastq.res,SRR19381122.fastq.res,SRR19381123.fastq.res,SRR19381124.fastq.res,SRR19381125.fastq.res,SRR19381126.fastq.res,SRR19381127.fastq.res,SRR19381128.fastq.res,SRR19381129.fastq.res,SRR19381130.fastq.res,SRR19381131.fastq.res,SRR19381132.fastq.res,SRR19381133.fastq.res,SRR19381134.fastq.res,SRR19381137.fastq.res,SRR19381138.fastq.res,SRR19381139.fastq.res,SRR19381140.fastq.res,SRR19381141.fastq.res,SRR19381142.fastq.res,SRR19381143.fastq.res,SRR19381144.fastq.res,SRR19381146.fastq.res,SRR19381147.fastq.res,SRR19381148.fastq.res,SRR19381149.fastq.res,SRR19381150.fastq.res,SRR19381151.fastq.res,SRR19381152.fastq.res,SRR19381153.fastq.res,SRR19381154.fastq.res,SRR19381155.fastq.res,SRR19381156.fastq.res,SRR19381157.fastq.res,SRR19381161.fastq.res,SRR19381162.fastq.res,SRR19381163.fastq.res,SRR19381164.fastq.res,SRR19381166.fastq.res,SRR19381170.fastq.res,SRR19381172.fastq.res,SRR19381173.fastq.res,SRR19381174.fastq.res,SRR19381175.fastq.res,SRR19381176.fastq.res,SRR19381179.fastq.res,SRR19381181.fastq.res,SRR19381184.fastq.res,SRR19381185.fastq.res,SRR19381187.fastq.res,SRR19381191.fastq.res,SRR19381192.fastq.res,SRR19381193.fastq.res,SRR19381195.fastq.res,SRR19381197.fastq.res,SRR19381198.fastq.res,SRR19381200.fastq.res,SRR19381201.fastq.res,SRR19381202.fastq.res,SRR19381203.fastq.res,SRR19381207.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
13.95,11.08,5.84,30.57,11.15,14.24,4.97,0.0,2.75,23.48,2.15,2.66,45.94,1.45,12.2,62.620000000000005,10.440000000000001,8.05,10.11,7.46,34.03,5.36,4.29,9.06,2.75,15.600000000000001,1.98,4.82,0.0,6.27,10.9,3.17,15.22,3.93,7.48,5.92,7.050000000000001,17.419999999999998,1.63,6.78,288.69,51.54,7.57,3.32,74.97999999999999,15.85,64.82,16.52,12.440000000000001,52.44,169.89999999999998,208.28,152.01,230.47000000000003,111.42,79.97,399.52,2.84,102.14,7.2,7.66,90.41,10.489999999999998,11.98,95.21,65.94000000000001,98.0,206.04000000000002,0.0,Archaea,unk_k,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,
0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Acidobacteria,unk_c,unk_o,unk_f,unk_g,uncultured Acidobacteria bacterium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus
0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,
0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured Actinomyces sp.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,actinomycete N2D3.UGM050509-01
0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,uncultured Actinomycetales bacterium
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,unk_f,unk_g,uncultured actinomycete
