DRR179681_1.fastq.res,DRR179682_1.fastq.res,ERR4028039.fastq.res,ERR4028235.fastq.res,ERR4028356.fastq.res,ERR6891814_1.fastq.res,ERR6891815_1.fastq.res,ERR6891816_1.fastq.res,ERR6891817_1.fastq.res,ERR6891818_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
749.01,4689.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces succiniciruminis
0.0,536.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,
589.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
34.88,186.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,Oscillatoriaceae,Oscillatoria,uncultured Oscillatoria sp.
55.85,3713.12,6985.35,4318.33,6252.83,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,unk_o,unk_f,unk_g,uncultured cyanobacterium
0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes
3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,unk_g,uncultured Bradyrhizobiaceae bacterium
2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,
3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,uncultured Methylobacterium sp.
0.0,280.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,
101.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,uncultured Kordiimonas sp.
0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,
1119.34,16.560000000000002,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,unk_f,unk_g,uncultured Pseudomonadales bacterium
0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,unk_g,
3.83,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,bacterium
0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,unk_g,uncultured Aureobasidium
0.0,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora cordiana
0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Coryneliales,Coryneliaceae,Caliciopsis,Caliciopsis pinea
0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha bicolor
0.0,0.0,0.0,0.0,9.88,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Medeolariales,Medeolariaceae,Medeolaria,
6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,,
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,
0.0,0.0,0.0,0.0,2.9799999999999995,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,,
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
0.0,29.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8.63,0.0,Eukaryota,Metazoa,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,,
2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,,,
0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Halictidae,,
0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,Gryllus bimaculatus
6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Rimicaris,
0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Astacidae,,
