SRR19379909.fastq.res,SRR19379910.fastq.res,SRR19379911.fastq.res,SRR19379912.fastq.res,SRR19379913.fastq.res,SRR19379914.fastq.res,SRR19379915.fastq.res,SRR19379916.fastq.res,SRR19379917.fastq.res,SRR19379918.fastq.res,SRR19379920.fastq.res,SRR19379921.fastq.res,SRR19379922.fastq.res,SRR19379924.fastq.res,SRR19379925.fastq.res,SRR19379927.fastq.res,SRR19379928.fastq.res,SRR19379930.fastq.res,SRR19379931.fastq.res,SRR19379932.fastq.res,SRR19379934.fastq.res,SRR19379935.fastq.res,SRR19379936.fastq.res,SRR19379937.fastq.res,SRR19379938.fastq.res,SRR19379939.fastq.res,SRR19379940.fastq.res,SRR19379942.fastq.res,SRR19379943.fastq.res,SRR19379944.fastq.res,SRR19379945.fastq.res,SRR19379946.fastq.res,SRR19379947.fastq.res,SRR19379948.fastq.res,SRR19379949.fastq.res,SRR19379950.fastq.res,SRR19379951.fastq.res,SRR19379952.fastq.res,SRR19379953.fastq.res,SRR19379954.fastq.res,SRR19379955.fastq.res,SRR19379956.fastq.res,SRR19379957.fastq.res,SRR19379958.fastq.res,SRR19379959.fastq.res,SRR19379960.fastq.res,SRR19379961.fastq.res,SRR19379962.fastq.res,SRR19379963.fastq.res,SRR19379964.fastq.res,SRR19379965.fastq.res,SRR19379966.fastq.res,SRR19379967.fastq.res,SRR19379968.fastq.res,SRR19379969.fastq.res,SRR19379970.fastq.res,SRR19379971.fastq.res,SRR19379972.fastq.res,SRR19379973.fastq.res,SRR19379974.fastq.res,SRR19379975.fastq.res,SRR19379976.fastq.res,SRR19379977.fastq.res,SRR19379978.fastq.res,SRR19379980.fastq.res,SRR19379981.fastq.res,SRR19379982.fastq.res,SRR19379983.fastq.res,SRR19379984.fastq.res,SRR19379985.fastq.res,SRR19379986.fastq.res,SRR19379987.fastq.res,SRR19379988.fastq.res,SRR19379989.fastq.res,SRR19379990.fastq.res,SRR19379991.fastq.res,SRR19379992.fastq.res,SRR19379993.fastq.res,SRR19379994.fastq.res,SRR19379995.fastq.res,SRR19379996.fastq.res,SRR19379997.fastq.res,SRR19379998.fastq.res,SRR19379999.fastq.res,SRR19380000.fastq.res,SRR19380002.fastq.res,SRR19380003.fastq.res,SRR19380004.fastq.res,SRR19380005.fastq.res,SRR19380006.fastq.res,SRR19380007.fastq.res,SRR19380008.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4.23,3.67,19.98,4.2,8.12,7.52,6.33,13.22,5.41,3.75,3.25,0.43,4.91,12.79,9.01,5.84,7.2,1.86,4.890000000000001,2.15,6.029999999999999,8.049999999999999,1.72,1.55,6.869999999999999,1.98,7.449999999999999,15.61,10.979999999999999,3.51,11.2,4.09,3.87,0.67,0.43,0.94,1.55,0.0,6.01,56.42,0.6,0.0,1.38,48.28,46.57,3.1799999999999997,15.95,13.11,0.0,5.57,3.26,1.03,3.7,4.64,4.63,2.23,2.92,3.52,6.45,1.72,0.0,1.8,0.77,0.0,8.32,3.95,56.82,18.67,1.89,8.23,5.65,4.699999999999999,8.86,8.9,4.529999999999999,6.4,13.31,12.94,13.31,1.88,2.92,31.270000000000003,4.38,29.53,2.66,92.52,2.66,37.92,1.11,25.93,0.0,12.129999999999999,Archaea,unk_k,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,
0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanococci,Methanococcales,unk_f,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,uncultured Acidimicrobium sp.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces israelii
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured Actinomyces sp.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured Corynebacterium sp.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,,
