SRR11025179_1.fastq.res,SRR12046609.fastq.res,SRR12883163_1.fastq.res,SRR14766237_1.fastq.res,SRR16854363_1.fastq.res,SRR2162878_1.fastq.res,SRR2568376.fastq.res,SRR2568377.fastq.res,SRR3503829_1.fastq.res,SRR3683871_1.fastq.res,SRR5435199.fastq.res,SRR9496657.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.0,0,0.0,0.0,0.0,0.0,3.53,0.3,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Catenulisporales,,,
0.0,0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium auriscanis
0.0,0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,,
0.0,0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,
0.0,0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,,,
0.0,0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,,
0.0,0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus wratislaviensis
0.0,0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus
0.0,0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena
0.0,0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,,
0.0,0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium hominis
0.0,0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. F31
0.0,0,0.0,0.0,0.0,0.0,5.97,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. dulse 8
0.0,0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,
0.0,0,0.0,0.0,0.0,0.0,1.02,1.4,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,uncultured Microbacterium sp.
0.0,0,0.0,0.0,0.0,0.0,1.4,1.76,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,,
0.0,0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,,
0.0,0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Renibacterium,
0.0,0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Micrococcales,,,
0.0,0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,,,
0.0,0,0.0,0.0,44.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
0.0,0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,
0.0,0,0.0,0.0,27.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,,
0.0,0,0.0,0.0,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,
0.0,0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,uncultured Propionibacterium sp.
0.0,0,0.0,0.0,0.0,114.22,17.54,50.160000000000004,0.0,0.0,0.0,0.0,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
0.0,0,0.0,0.0,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,,
0.0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Siphonobacter,Siphonobacter aquaeclarae
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,Bacteria,unk_k,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured Hymenobacter sp.
0.0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. MCA2.23
0.0,0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. NC232
0.0,0,0.0,0.0,0.0,0.0,1.85,0.46,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,uncultured Chryseobacterium sp.
0.0,0,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium thalpophilum
0.0,0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Bacteroidetes,unk_c,unk_o,unk_f,unk_g,Bacteroidetes bacterium BC2_TSA1F2
0.0,0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Candidatus Saccharibacteria,unk_c,unk_o,unk_f,unk_g,uncultured Candidatus Saccharibacteria bacterium
0.0,0,0.0,0.0,0.0,0.0,6526.48,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,
0.0,0,0.0,0.0,0.0,0.0,0.0,10346.74,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,uncultured Chroococcidiopsis sp.
0.0,0,0.0,0.0,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Nostocales,Aphanizomenonaceae,,
0.0,0,0.0,0.0,89.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Nostocales,Calotrichaceae,,
0.0,0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Nostocales,Nostocaceae,,
0.0,0,0.0,0.0,0.0,100.42,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Oscillatoriales,Microcoleaceae,Planktothricoides,Planktothricoides sp. EA10(2012)
0.0,0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,Synechococcales,Prochlorococcaceae,Prochlorococcus,Prochlorococcus marinus
0.0,0,0.0,0.0,0.0,735.56,3.3600000000000003,7.9,0.0,0.0,0.0,0.0,Bacteria,unk_k,Cyanobacteria,unk_c,unk_o,unk_f,unk_g,uncultured cyanobacterium
0.0,0,0.0,0.0,0.0,75.07000000000001,5.24,30.47,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
0.0,0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus simplex
0.0,0,0.0,0.0,34.71,5.6899999999999995,0.64,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,,,
0.0,0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus reuszeri
0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,,
0.0,0,0.0,0.0,0.0,0.0,1.26,0.62,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured Paenibacillus sp.
0.0,0,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
0.0,0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
0.0,0,0.0,0.0,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,unk_f,Exiguobacterium,uncultured Exiguobacterium sp.
0.0,0,0.0,0.0,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,,
0.0,0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
0.0,0,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,uncultured Clostridium sp.
